date,year,quarter,value
1996-04-01,1996,2,398.0
1996-07-01,1996,3,398.0
1996-10-01,1996,4,507.0
1997-01-01,1997,1,432.0
1997-04-01,1997,2,398.0
1997-07-01,1997,3,406.0
1997-10-01,1997,4,526.0
1998-01-01,1998,1,428.0
1998-04-01,1998,2,397.0
1998-07-01,1998,3,403.0
1998-10-01,1998,4,517.0
1999-01-01,1999,1,435.0
1999-04-01,1999,2,383.0
1999-07-01,1999,3,424.0
1999-10-01,1999,4,521.0
2000-01-01,2000,1,421.0
2000-04-01,2000,2,402.0
2000-07-01,2000,3,414.0
2000-10-01,2000,4,500.0
2001-01-01,2001,1,451.0
2001-04-01,2001,2,380.0
2001-07-01,2001,3,416.0
2001-10-01,2001,4,492.0
2002-01-01,2002,1,428.0
2002-04-01,2002,2,408.0
2002-07-01,2002,3,406.0
2002-10-01,2002,4,506.0
2003-01-01,2003,1,435.0
2003-04-01,2003,2,380.0
2003-07-01,2003,3,421.0
2003-10-01,2003,4,490.0
2004-01-01,2004,1,435.0
2004-04-01,2004,2,390.0
2004-07-01,2004,3,412.0
2004-10-01,2004,4,454.0
2005-01-01,2005,1,416.0
2005-04-01,2005,2,403.0
2005-07-01,2005,3,408.0
2005-10-01,2005,4,482.0
2006-01-01,2006,1,438.0
2006-04-01,2006,2,386.0
2006-07-01,2006,3,405.0
2006-10-01,2006,4,491.0
2007-01-01,2007,1,427.0
2007-04-01,2007,2,383.0
2007-07-01,2007,3,394.0
2007-10-01,2007,4,473.0
2008-01-01,2008,1,420.0
2008-04-01,2008,2,390.0
2008-07-01,2008,3,410.0
2008-10-01,2008,4,488.0
2009-01-01,2009,1,415.0
2009-04-01,2009,2,398.0
2009-07-01,2009,3,419.0
2009-10-01,2009,4,488.0
2010-01-01,2010,1,414.0
2010-04-01,2010,2,374.0
